Country,OverallCDI,OverallCV,OverallPC,OverallPop08,WeatherCDI,WeatherCV,WeatherPC,SeaCDI,SeaCV,SeaPC,SeaPop08,AgCDI,AgCV,AgPC,AgPop08,Income_per_cap,KKM_score,Area,Island,Sm_Island,Region,WBRegion,Subregion,ISO3,IncomeStatus,WBLendingClass
Indonesia,18.000,1.154,18.137,237512.36,3.38198,0.62604,3.50075,13.17000,2.64055,10.01476,12502.90,29.780,1.777,30.339,115288.51,3532,-0.27,1904569,0,0,Asia,EAP,Southeast Asia,IDN,Lower Middle Income,IBRD
"Iran, Islamic Rep.",14.961,1.031,5.953,75025.36,0.22932,0.04563,0.09374,1.53000,0.33070,0.46076,397.31,48.090,3.084,19.344,23663.00,10105,-1.63,1648195,0,0,Asia,MNA,Western Asia,IRN,Lower Middle Income,IBRD
Iraq,22.205,2.698,15.595,28221.44,0.02079,0.00730,0.01500,0.00000,0.00000,0.00000,26.02,68.390,7.735,48.555,9425.96,2877,-1.09,438317,0,0,Asia,MNA,Middle East,IRQ,Lower Middle Income,IBRD
Ireland,3.488,0.015,4.622,4517.71,0.00167,0.00002,0.00228,10.39000,0.13935,10.39455,162.15,8.320,0.033,11.146,1746.55,38226,1.91,70273,0,0,Europe,ECA,Western Europe,IRL,High Income OECD,NC
Isle of Man,16.189,0.084,19.127,82.20,0.01111,0.00017,0.01349,8.90000,0.14470,7.93459,2.37,33.360,0.161,39.847,40.41,36193,1.44,572,1,1,Oceania,ECA,Atlantic Islands,IMY,High Income Non OECD,NC
Israel,3.846,0.029,4.549,7112.36,0.00100,0.00002,0.00121,6.84000,0.16358,6.10738,220.76,44.930,0.320,53.709,593.17,24564,1.2,22072,0,0,Asia,MNA,Middle East,ISR,High Income Non OECD,NC
Italy,4.223,0.031,4.495,58145.32,0.00310,0.00007,0.00339,11.18000,0.25431,8.98453,2155.20,12.310,0.083,13.251,18559.98,29329,0.95,301340,0,0,Europe,ECA,Western Europe,ITA,High Income OECD,NC
Jamaica,30.015,0.763,33.343,2804.33,0.09316,0.00683,0.10631,11.96000,0.95058,10.02784,63.85,65.390,1.546,73.436,1309.62,7941,0.36,10991,1,1,Latin America & Caribbean,LCR,Caribbean Islands,JAM,Upper Middle Income,IBRD
Japan,8.852,0.055,10.071,127288.41,0.60925,0.01085,0.71210,40.86000,0.78780,35.08268,16587.78,9.480,0.054,10.909,42667.07,31931,1.23,377915,1,0,Asia,EAP,Northeast Asia,JPN,High Income OECD,NC
Jersey,4.804,0.017,5.181,91.63,0.00042,0.00000,0.00047,30.98000,0.34123,25.21091,8.68,8.320,0.027,9.071,22.17,59717,1.44,116,1,1,Europe,ECA,Western Europe,JEY,High Income OECD,NC
Jordan,9.417,0.380,11.520,6132.63,0.00117,0.00014,0.00147,0.00000,0.00000,0.00000,0.63,44.930,1.688,55.555,1323.42,4444,0.34,89342,0,0,Asia,MNA,Middle East,JOR,Lower Middle Income,IBRD
Kazakhstan,-7.741,-0.237,-6.232,15340.53,0.00855,0.00076,0.00707,0.00000,0.00000,0.00000,,-18.970,-0.541,-15.439,6452.23,9707,-0.37,2724900,0,0,Asia,ECA,Western Asia,KAZ,Upper Middle Income,IBRD
